IP Address,Port,Region,ASN
109.61.18.28,2087,AE,GCore Labs Customer assignment
109.61.42.29,2053,AE,GCore Labs Customer assignment
146.70.37.253,443,AE,M247 Ltd Dubai
147.78.0.186,8443,AE,Oneprovidercom  Dubai Infrastructure
147.78.0.186,2053,AE,Oneprovidercom  Dubai Infrastructure
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
172.86.76.47,443,AE,RouterHosting LLC
172.86.77.145,443,AE,RouterHosting LLC
172.86.77.98,443,AE,RouterHosting LLC
176.97.66.175,443,AE,3nt solutions LLP
181.215.205.172,2053,AE,Private Customer
188.208.110.30,443,AE,BFB ONE FZLLC
188.208.110.35,2096,AE,BFB ONE FZLLC
193.123.74.174,8443,AE,Oracle Corporation
20.174.15.226,443,AE,Microsoft Corporation
3.29.240.49,443,AE,Amazon Data Services UAE
31.130.149.210,443,AE,Hurricane Electric LLC
45.86.228.104,443,AE,BlueVPS OU
51.170.85.31,8443,AE,Oracle Corporation
80.227.252.11,8443,AE,Emirates Integrated Telecommunications Company PJSC
84.235.245.65,2096,AE,Cloudflare Inc
84.235.245.75,8443,AE,Oracle Corporation
84.235.255.82,443,AE,Oracle Corporation
89.36.162.162,8443,AE,Melbikomas UAB
90.156.220.194,2053,AE,ITGLOBAL COM DMCC
90.156.221.54,443,AE,ITGLOBAL COM DMCC
91.132.93.153,443,AE,EDIS INFRASTRUCTURE IN UAE
95.174.68.155,2083,AE,Melbikomas UAB
95.174.68.179,8443,AE,Melbikomas UAB
193.108.112.248,443,AL,Baxet Group Inc
193.108.112.65,443,AL,Baxet Group Inc
89.125.139.115,443,AL,Baxet Group Inc
91.239.6.40,443,AL,HostAL Shpk
91.239.6.47,443,AL,HostAL Shpk
91.239.6.51,8443,AL,HostAL Shpk
139.45.214.122,443,AM,RETN AM Limited Liability Company
139.45.214.126,443,AM,RETN AM Limited Liability Company
2.56.204.183,443,AM,Proitlab LLC
2.56.204.246,443,AM,Proitlab LLC
2.56.207.67,443,AM,Proitlab LLC
77.91.68.117,443,AM,365partners INC
77.91.68.239,443,AM,365partners INC
88.218.95.171,2053,AM,BEAFORT LIMITED
88.218.95.171,8443,AM,BEAFORT LIMITED
